,book_id,page_count,price_online,price_offline
65,10888031,512.0,778.0,819
66,10882302,224.0,319.0,319
67,10879351,368.0,892.0,939
68,10880516,448.0,419.0,419
69,10864575,640.0,578.0,609
70,10864275,480.0,692.0,729
71,10864278,640.0,299.0,299
72,10863610,384.0,249.0,249
73,10862019,416.0,531.0,559
74,10857198,288.0,329.0,329
75,10858395,352.0,239.0,239
76,10849630,384.0,469.0,469
77,10843449,288.0,359.0,359
78,10845261,576.0,279.0,279
79,10844260,448.0,289.0,289
80,10844245,512.0,369.0,369
81,10832862,608.0,299.0,299
82,10832868,160.0,289.0,289
83,10831852,320.0,339.0,339
84,10790528,416.0,289.0,289
85,10737821,288.0,499.0,499
86,10729049,222.0,531.0,559
87,10721976,448.0,219.0,219
88,10719976,384.0,209.0,209
89,10704971,928.0,1120.0,1179
90,10640333,352.0,249.0,249
91,10624046,288.0,329.0,329
92,10624063,416.0,239.0,239
93,10623695,176.0,219.0,219
94,10615952,352.0,219.0,219
95,10612062,320.0,329.0,329
96,10611306,480.0,319.0,319
97,10579436,320.0,229.0,229
98,10567224,64.0,489.0,489
99,10543273,320.0,239.0,239
100,10517619,1024.0,329.0,329
101,10517620,1696.0,664.0,699
102,10483847,320.0,179.0,179
103,10481504,800.0,550.0,579
104,10480607,479.0,629.0,629
105,10470442,352.0,502.0,529
106,10469701,320.0,219.0,219
107,10455888,320.0,229.0,229
108,10429829,317.0,339.0,339
109,10420290,320.0,329.0,329
110,10405963,479.0,359.0,359
111,10381401,224.0,229.0,229
112,10363824,446.0,229.0,229
113,10309137,381.0,199.0,199
114,10239876,319.0,329.0,329
115,10238085,319.0,289.0,289
116,10221224,639.0,219.0,219
117,10197321,254.0,269.0,269
118,10179415,288.0,249.0,249
119,10176708,444.0,279.0,279
120,10168229,671.0,289.0,289
121,10148774,478.0,269.0,269
122,10954877,272.0,189.0,189
123,10955614,448.0,692.0,729
124,10953788,704.0,1006.0,1059
125,10950253,384.0,299.0,299
126,10938593,400.0,825.0,869
127,10940250,384.0,279.0,279
128,10949391,512.0,459.0,459
129,10948858,1424.0,1759.0,1759
130,10947361,608.0,259.0,259
131,10948323,576.0,369.0,369
132,10946669,384.0,259.0,259
133,10947195,768.0,319.0,319
134,10945906,320.0,359.0,359
135,10942376,800.0,279.0,279
136,10939573,384.0,229.0,229
137,10938162,448.0,159.0,159
138,10938287,640.0,721.0,759
139,10938164,320.0,259.0,259
140,10937805,256.0,309.0,309
141,10937571,352.0,259.0,259
142,10937591,224.0,269.0,269
143,10936571,360.0,949.0,999
144,10936565,544.0,949.0,999
145,10936556,222.0,825.0,869
146,10936468,256.0,199.0,199
147,10934712,288.0,199.0,199
148,10934645,320.0,319.0,319
149,10934274,80.0,129.0,129
150,10934190,1376.0,1386.0,1459
151,10933450,864.0,919.0,919
152,10932369,384.0,550.0,579
153,10932375,448.0,269.0,269
154,10931557,256.0,299.0,299
155,10932100,448.0,429.0,429
156,10930463,160.0,449.0,449
157,10931802,384.0,249.0,249
158,10929338,608.0,597.0,629
159,10928937,320.0,299.0,299
160,10930566,288.0,319.0,319
161,10930500,256.0,502.0,529
162,10930491,352.0,289.0,289
163,10930642,320.0,825.0,869
164,10922704,288.0,199.0,199
165,10929272,288.0,299.0,299
166,10929077,224.0,483.0,509
167,10927396,384.0,539.0,539
168,10927120,288.0,219.0,219
169,10922700,288.0,588.0,619
170,10922706,576.0,859.0,859
171,10921573,288.0,249.0,249
172,10918441,272.0,692.0,729
173,10920066,704.0,459.0,459
174,10920098,416.0,249.0,249
175,10918500,288.0,531.0,559
176,10918490,608.0,379.0,379
177,10915491,320.0,169.0,169
178,10912952,256.0,299.0,299
179,10911311,224.0,239.0,239
180,10909635,352.0,339.0,339
181,10910882,480.0,692.0,729
182,10910895,640.0,429.0,429
183,10910688,352.0,339.0,339
184,10908554,696.0,1243.0,1309
185,10910479,320.0,529.0,529
186,10908379,320.0,259.0,259
187,10902616,320.0,559.0,559
188,10905310,320.0,219.0,219
189,10904736,350.0,616.0,649
190,10904735,254.0,616.0,649
191,10900846,136.0,259.0,259
192,10897569,992.0,409.0,409
193,10897579,416.0,299.0,299
194,10898176,768.0,1399.0,1399
195,10894129,352.0,329.0,329
196,10893202,704.0,369.0,369
197,10891867,696.0,1520.0,1689
198,10891655,320.0,329.0,329
199,10892044,448.0,369.0,369
200,10891665,288.0,319.0,319
201,10888448,320.0,469.0,469
202,10888056,576.0,389.0,389
203,10888355,496.0,569.0,599
204,10886377,480.0,409.0,409
205,10885644,368.0,645.0,679
206,10879337,576.0,1319.0,1389
207,10876652,416.0,239.0,239
208,10873843,384.0,249.0,249
209,10873233,464.0,459.0,459
210,10872031,480.0,379.0,379
211,10870782,384.0,309.0,309
212,10866190,448.0,1310.0,1379
213,10870166,256.0,239.0,239
214,10864062,828.0,2260.0,2659
215,10864068,1133.0,2060.0,2289
216,10865592,254.0,578.0,609
217,10862642,320.0,279.0,279
218,10862537,288.0,239.0,239
219,10862547,352.0,249.0,249
220,10861134,350.0,664.0,699
221,10859758,384.0,319.0,319
222,10859754,256.0,289.0,289
223,10859531,224.0,459.0,459
224,10859784,576.0,930.0,979
